FID,STATS_FID,SRC_NAME,SRC_CODE,TOT_AREA_SRC,TRG_NAME,TRG_CODE,TOT_AREA_TRG,AREA,OV_SRC,OV_TRG
statistical.224,1260344541567,fifao:FAO_MAJOR,31,1285.4284816391,fifao:eez,Nicaraguan Exclusive Economic Zone,12.428165544,7.3352730623,0.5706480887,59.0213659153
statistical.225,1260344541566,fifao:FAO_MAJOR,31,1285.4284816391,fifao:eez,Honduran Exclusive Economic Zone,18.516576302,18.516576302,1.4404983682,100
statistical.226,1260344541565,fifao:FAO_MAJOR,31,1285.4284816391,fifao:eez,Saint-Martin Exclusive Economic Zone,0.4638083998,0.4638083998,0.0360820074,100
statistical.227,1260344541564,fifao:FAO_MAJOR,31,1285.4284816391,fifao:eez,Sint-Maarten Exclusive Economic Zone,1.0396988932,1.0396988932,0.0808834492,100
statistical.228,1260344541563,fifao:FAO_MAJOR,31,1285.4284816391,fifao:eez,Brazilian Exclusive Economic Zone,269.3724616602,3.6000806754,0.2800685318,1.3364694569
statistical.229,1260344541562,fifao:FAO_MAJOR,31,1285.4284816391,fifao:eez,French Guiana Exclusive Economic Zone,10.9543854592,10.5909980323,0.8239274439,96.6827219265
statistical.230,1260344541561,fifao:FAO_MAJOR,31,1285.4284816391,fifao:eez,Surinamese Exclusive Economic Zone,10.51794201,10.51794201,0.8182440455,100
statistical.231,1260344541560,fifao:FAO_MAJOR,31,1285.4284816391,fifao:eez,Guyanese Exclusive Economic Zone,11.1729567138,11.1729567138,0.8692009609,100
statistical.232,1260344541549,fifao:FAO_MAJOR,31,1285.4284816391,fifao:eez,Mexican Exclusive Economic Zone,285.9392493464,72.4118640798,5.6332861076,25.3242128338
statistical.233,1260344541548,fifao:FAO_MAJOR,31,1285.4284816391,fifao:eez,Colombian Exclusive Economic Zone,66.0967721879,39.3041880454,3.0576720998,59.4646103651
statistical.234,1260344541547,fifao:FAO_MAJOR,31,1285.4284816391,fifao:eez,Costa Rican Exclusive Economic Zone,46.8332504155,2.2225991919,0.1729072619,4.7457718015
statistical.235,1260344541546,fifao:FAO_MAJOR,31,1285.4284816391,fifao:eez,Panamanian Exclusive Economic Zone,27.2396333734,11.8045736172,0.9183376427,43.3360223885
statistical.236,1260344541545,fifao:FAO_MAJOR,31,1285.4284816391,fifao:eez,Netherlands Antilles Exclusive Economic Zone,5.7379909814,5.7379909814,0.4463874158,100
statistical.237,1260344541544,fifao:FAO_MAJOR,31,1285.4284816391,fifao:eez,Saint Vincent and the Grenadines Exclusive Economic Zone,3.0314018763,3.0314018763,0.2358281242,100
statistical.238,1260344541543,fifao:FAO_MAJOR,31,1285.4284816391,fifao:eez,Trinidad and Tobago Exclusive Economic Zone,6.4186495213,6.4186495213,0.4993392953,100
statistical.239,1260344541542,fifao:FAO_MAJOR,31,1285.4284816391,fifao:eez,Grenadian Exclusive Economic Zone,2.1721172152,2.1721172152,0.168980013,100
statistical.240,1260344541541,fifao:FAO_MAJOR,31,1285.4284816391,fifao:eez,Barbados Exclusive Economic Zone,15.5282824532,15.5282824532,1.208023836,100
statistical.241,1260344541540,fifao:FAO_MAJOR,31,1285.4284816391,fifao:eez,Dominican Exclusive Economic Zone,2.4069726493,2.4069726493,0.1872506082,100
statistical.242,1260344541539,fifao:FAO_MAJOR,31,1285.4284816391,fifao:eez,Saint Lucia Exclusive Economic Zone,1.2920317856,1.2920317856,0.1005137045,100
statistical.243,1260344541538,fifao:FAO_MAJOR,31,1285.4284816391,fifao:eez,Virgin Islands Exclusive Economic Zone,6.9371717713,6.9371717713,0.5396777705,100
statistical.244,1260344541537,fifao:FAO_MAJOR,31,1285.4284816391,fifao:eez,Puerto Rican Exclusive Economic Zone,18.0028446122,18.0028446122,1.4005325749,100
statistical.245,1260344541536,fifao:FAO_MAJOR,31,1285.4284816391,fifao:eez,Dominican Republic Exclusive Economic Zone,22.9962267152,22.9962267152,1.7889930901,100
statistical.246,1260344541535,fifao:FAO_MAJOR,31,1285.4284816391,fifao:eez,Haitian Exclusive Economic Zone,10.5272728917,10.5272728917,0.8189699421,100
statistical.247,1260344541534,fifao:FAO_MAJOR,31,1285.4284816391,fifao:eez,Cayman Islands Exclusive Economic Zone,10.235274647,10.235274647,0.7962539179,100
statistical.248,1260344541533,fifao:FAO_MAJOR,31,1285.4284816391,fifao:eez,Cuban Exclusive Economic Zone,31.9399853594,31.9399853594,2.4847734289,100
statistical.249,1260344541532,fifao:FAO_MAJOR,31,1285.4284816391,fifao:eez,Turks and Caicos Exclusive Economic Zone,13.5434973255,13.5434973255,1.0536173361,100
statistical.250,1260344541531,fifao:FAO_MAJOR,31,1285.4284816391,fifao:eez,Bermudian Exclusive Economic Zone,43.1583176169,40.7295417253,3.1685575905,94.3724036855
statistical.251,1260344562212,fifao:FAO_MAJOR,34,1207.9163056789,fifao:eez,Portuguese Exclusive Economic Zone,33.198388289,4.9321903134,0.4083221901,14.8567161468
statistical.252,1260344562211,fifao:FAO_MAJOR,34,1207.9163056789,fifao:eez,Spanish Exclusive Economic Zone,59.7759035114,0.2297218497,0.019018027,0.3843051066
statistical.253,1260344562210,fifao:FAO_MAJOR,34,1207.9163056789,fifao:eez,Brazilian Exclusive Economic Zone,269.3724616602,14.522385029,1.2022674883,5.3911914156
statistical.254,1260344562209,fifao:FAO_MAJOR,34,1207.9163056789,fifao:eez,Nigeria - Sao Tome and Principe Joint,2.8078075046,2.8078075046,0.232450501,100
statistical.255,1260344562208,fifao:FAO_MAJOR,34,1207.9163056789,fifao:eez,Angolan Exclusive Economic Zone,41.6164059265,0.8530412231,0.0706208881,2.0497714882
statistical.256,1260344562207,fifao:FAO_MAJOR,34,1207.9163056789,fifao:eez,Democratic Republic of the Congo Exclusive Economic Zone,0.0943499669,0.0910837317,0.0075405664,96.5381702334
statistical.257,1260344562206,fifao:FAO_MAJOR,34,1207.9163056789,fifao:eez,Gabonese Exclusive Economic Zone,15.7468755384,15.6096723321,1.2922809518,99.1286956837
statistical.258,1260344562205,fifao:FAO_MAJOR,34,1207.9163056789,fifao:eez,Cameroonian Exclusive Economic Zone,1.1738741959,1.1738741959,0.0971817493,100
statistical.259,1260344562204,fifao:FAO_MAJOR,34,1207.9163056789,fifao:eez,Nigerian Exclusive Economic Zone,14.8369607606,14.8369607606,1.22831033,100
statistical.260,1260344562203,fifao:FAO_MAJOR,34,1207.9163056789,fifao:eez,Ivory Coast Exclusive Economic Zone,14.2075535232,14.2075535232,1.1762034717,100
statistical.261,1260344562202,fifao:FAO_MAJOR,34,1207.9163056789,fifao:eez,Guinean Exclusive Economic Zone,8.9783290002,8.9783290002,0.7432906533,100
statistical.262,1260344562201,fifao:FAO_MAJOR,34,1207.9163056789,fifao:eez,Guinea Bissau Exclusive Economic Zone,8.7937047265,8.7937047265,0.728006128,100
statistical.263,1260344562200,fifao:FAO_MAJOR,34,1207.9163056789,fifao:eez,Ghanaian Exclusive Economic Zone,18.3078084412,18.3078084412,1.5156520659,100
statistical.264,1260344562199,fifao:FAO_MAJOR,34,1207.9163056789,fifao:eez,Equatorial Guinean Exclusive Economic Zone,25.076792557,25.076792557,2.0760372585,100
statistical.265,1260344562198,fifao:FAO_MAJOR,34,1207.9163056789,fifao:eez,Sao Tome and Principe Exclusive Economic Zone,10.6176780963,10.6176780963,0.8790077629,100
statistical.266,1260344562197,fifao:FAO_MAJOR,34,1207.9163056789,fifao:eez,Congolese Exclusive Economic Zone,3.3038419732,2.5173612337,0.2084052696,76.1949649555
statistical.267,1260344562196,fifao:FAO_MAJOR,34,1207.9163056789,fifao:eez,Beninese Exclusive Economic Zone,2.4495663008,2.4495663008,0.2027927174,100
statistical.268,1260344562195,fifao:FAO_MAJOR,34,1207.9163056789,fifao:eez,Togolese Exclusive Economic Zone,1.2530925631,1.2530925631,0.1037400155,100
statistical.269,1260344562194,fifao:FAO_MAJOR,34,1207.9163056789,fifao:eez,Liberian Exclusive Economic Zone,20.0479199696,20.0479199696,1.6597110144,100
statistical.270,1260344562193,fifao:FAO_MAJOR,34,1207.9163056789,fifao:eez,Sierra Leonian Exclusive Economic Zone,13.0333320923,13.0333320923,1.0789929758,100
statistical.271,1260344562192,fifao:FAO_MAJOR,34,1207.9163056789,fifao:eez,Ascension Exclusive Economic Zone,36.2430209994,5.574461064,0.4614939825,15.3807847975
statistical.272,1260344562191,fifao:FAO_MAJOR,34,1207.9163056789,fifao:eez,Senegalese Exclusive Economic Zone,13.1866060786,13.1866060786,1.0916820989,100
statistical.273,1260344562190,fifao:FAO_MAJOR,34,1207.9163056789,fifao:eez,Gambian Exclusive Economic Zone,1.8924871468,1.8924871468,0.1566736982,100
statistical.274,1260344562189,fifao:FAO_MAJOR,34,1207.9163056789,fifao:eez,Mauritanian Exclusive Economic Zone,13.27233673,13.27233673,1.0987794988,100
